French,English
partie,part
histoire,history
seulement,only
police,police
pensais,thought
aide,help
genre,kind
mois,month
frère,brother
car,because
mettre,to put
laisse,leash
eux,them
chaque,each
parlé,speak
arrivé,come
devrait,should
revoir,meet again
aucune,any
place,square
parle,speak
attention,Warning
affaire,case
leurs,their
corps,body
dont,whose
trouve,find
pouvoir,power
tellement,so much
enfant,child
suite,after
pardon,sorry
venez,come
devant,in front of
demandé,request
mis,placed
belle,beautiful
aujourd'hui,today
cause,cause
enfin,finally
espère,hope
eau,water
attendez,Wait
parti,left
terre,Earth
donne,given
croire,believe
chérie,sweetheart
